COUNTY,COURT CODE,COURT NAME,ADDRESS,PHONE,FAX,JUDGE,CT ADMIN,COURT DAYS,OFFICE HOURS,
OCEAN,1533,BARNEGAT TOWNSHIP MUNICIPAL CO,900 WEST BAY AVE BARNEGAT NJ 08008,609-698-0080,6096988746,PHILIP M MILLER,LAUREN L. ROMANO,"2ND,3RD,4TH WEDNESDAYS",8:30AM - 4:30PM,
CAMDEN,403,BARRINGTON MUNICIPAL COURT,500 WHITE HORSE PIKE,856-858-0074,8568540180,KRISDEN MCCRINK,DAWN ABATE-HIRST,2ND & 4TH WEDNESDAY,"MON-THUR 8AM-4PM, FRI 8AM-12PM",
BURLINGTON,301,BASS RIVER MUNICIPAL COURT,PO BOX 214 NEW GRETNA NJ 08224,609-296-1410,6092960193,ADOLPH P SICHERI,PEGGY BECK,ST & 3RD MONDAY,MON - FRI 9:00AM-4:00PM,
OCEAN,1502,BAY HEAD BORO MUNICIPAL COURT,83 BRIDGE AVE. BAY HEAD NJ 08742,732-892-4737,7328996494,JAMES J GLUCK,TRACEY E. MCCRYSTAL,1ST THURSDAY,WED - 4:30PM - 6:30PM,
HUDSON,901,BAYONNE CITY MUNICIPAL COURT,630 AVENUE. C. BAYONNE,201-858-6934,2018586962,CHERYL CASHMAN,CHRISTIE GONZALEZ (ACTING,"MONDAY, TUESDAY, THURSDAY",MON - FRI 8:30AM - 4:00PM,
OCEAN,1503,BEACH HAVEN BORO MUNICIPAL CT,300 ENGLESIDE A VENUE BEACH HAVEN NJ 08008,609-492-0111,6094926262,STACEY KERR,LAUREN SASSANO,OCT-JUN 1ST MONDAY; JUL-SEPT 1ST AND 3RD MONDAY,MON - FRI 9AM - 4PM,
OCEAN,1504,BEACHWOOD MUNICIPAL COURT,1600 PINEWALD ROAD BEACHWOOD,732-286-6000,7323498390,"JAMES GLUCK, JMC",SANDRA KLUMB,2ND AND 4TH TUESDAYS,8:00AM - 4:00PM M-F,
SOMERSET,1801,BEDMINSTER TWP MUNICIPAL CT,45 MILLER LANE BEDMINSTER NJ 07921,908-212-7020,9082127006,KATHERINE E HOWES,TERESA N VAN ALLEN,TUESDAYS AND THURSDAYS,9:00 AM - 4:00 PM,
ESSEX,701,BELLEVILLE TWP MUNICIPAL COURT,152 WASHINTON AVE BELLEVILLE NJ 07109,973-450-3319,9734500935,JOSEPH C ANGELO,YARA A BOSSOLT,EVERY OTHER WEDNESDAY; EVERY THURSDAY,8:00AM - 3:30PM,
CAMDEN,404,BELLMAWR MUNICIPAL COURT,21 E. BROWNING RD. BELLMAWE NJ 08099,856-931-1081,8569318935,N RYAN TRABOSH,AMANDA CUBBLER,2ND & 3RD THURSDAY,8:30AM - 4:00PM M-F,
MONMOUTH,1307,BELMAR BORO MUNICIPAL COURT,601 MAIN STREET BELMAR,848-220-9620,7326814728,DENNIS LAVENDER,PATRICIA WHITE,OCT-JUN:1ST & 3RD WED; JUL-SEPT:EVERY WEDNESDAY,9:00 AM - 4:30 PM,
WARREN,2103,BELVIDERE TOWN MUNICIPAL COURT,691 WATER STREET BEL VIDERE,908-475-5331,9084752738,NICOLE N LENAR,DAWN M DECKER,"1ST,2ND AND 4TH THURSDAY",MON - FRI 9:00A - 4:30P,
BERGEN,203,BERGENFIELD MUNICIPAL COURT,198 N WASHINGTON A VE BERGENFIELD NJ 07621,201-387-4055,2013877373,FRANKLIN MONTERO,KIM GRIMALDI-THIBAULT,2ND THURSDAY,9:00 AM - 4:00 PM,
UNION,2001,BERKELEY HEIGHTS COURT,360 ELKWOOD AVENUE NEW PROVIDENCE NJ 07974,908-743-1055,9086659873,JOHN DEMASSI,MACRINA CARRA,THURSDAY (2 TIMES PER MONTH,8:30 AM - 4:00 PM,
OCEAN,1505,BERKELEY TWP MUNICIPAL COURT,631 PINEWALD KESWICK BAYVILLE NJ 08721,732-240-6661,7322400984,JAMES J. GLUCK,JESSIE CAMPOREALE,"1ST,2ND,3RD MONDAYS",8:00AM - 4:00PM M-F,
CAMDEN,405,BERLIN BORO MUNICIPAL COURT,59 S WHITE HORSE PK BERLIN NJ 08009,856-767-1721,8567678955,KRISDEN MCCRINK,KELLY J. FOSTER,"1ST, 2ND, & 3RD MONDAY",8:30 AM - 4:30 PM M-F,
CAMDEN,406,BERLIN TWP MUNICIPAL COURT,135 ROUTE 73 SOUTH WEST BERLIN NJ 08091,856-767-2533,8567679337,N. RYAN TRABOSH,MARIA F REED,2ND & 4TH THURSDAY,9:00AM - 4:00PM M-F,
SOMERSET,1802,BERNARDS TWP MUNICIPAL COURT,45 MILLER LANE BEDMINSTER NJ 07921,908-212-7020,9082127006,KATHERINE E HOWES,TERESA VAN ALLEN,TUESDAYS AND THURSDAYS,MON - FRI 9:00AM - 4:00PM,
SOMERSET,1803,BERNARDSVILLE BORO COURT,45 MILLER LANE BEDMINSTER NJ 07921,908-212-7020,9082127006,KATHERINE E HOWES,TERESA N. VAN ALLEN,TUESDAYS AND THURSDAYS,9:00 AM - 4:00 PM,
HUNTERDON,1002,BETHLEHEM TWP MUNICIPAL COURT,405 MINE RD ASBURY NJ 08802,908-735-4559,9087359406,ROBERT L. ALEXANDER,DONNA SURDICH,2ND & 4TH TUESDAY,8:30AM -3:30PM MON - FRI,
BURLINGTON,302,BEVERLY CITY MUNICIPAL COURT,446 BROAD ST BEVERLY NJ 08010,609-387-1881,6093861351,PETER C LANGE JR.,DONNA S. WOJCULEWSKI,2ND & 4TH THURSDAY,MON-FRI 8:00AM - 5:00PM,
WARREN,2104,BLAIRSTOWN TWP MUNICIPAL COURT,151 US HWY 206 AUGUSTA NJ 07822,973-948-4045,,JAMES G DEVINE,SUZANNE M OAKLEY,4TH THURSDAY EACH MONTH,MON - FRI 9:00AM - 3:30PM,
ESSEX,702,BLOOMFIELD TWP MUNICIPAL COURT,MUNICIPALE BLOOMFIELD NJ 07003,973-680-4078,9736804082,WILFREDO BENITEZ,CLAUDIA SANTOS,"MONDAY, WEDNESDAY, THURSDAY",9:00 AM - 4:00 PM,
PASSAIC,1601,BLOOMINGDALE MUNICIPAL COURT,101 HAMBURG TPKE BLOOMINGDALE NJ 07403,973-838-0127,,DANA D'ANGELO,LACHELLE LENOIR,"1ST,3RD,5TH WEDNESDAYS",MON-FRI 8:00AM - 4:00PM,
BERGEN,204,BOGOTA BORO MUNICIPAL COURT,215-217 LIBERTY ST LITTLE FERRY NJ 07643,201-440-2111,2014404046,JARED GEIST,DEBORAH BROTHERS,,MON-FRI 9:00AM - 4:00PM,
MORRIS,1401,BOONTON MUNICIPAL COURT,3333 RT 46 PARSIPPANY,973-263-4290,9734025641,ANDREW M WUBBENHORST,ALVARO LEAL ACTING,TUESDAYS,9:00 AM - 4:00 PM,
MORRIS,1402,BOONTON TWP MUNICIPAL COURT,155 POWERVILLE RD BOONTON TWSP NJ 07005,973-402-4006,9734024013,ANDREW M WUBBEHORST,JOAN EGAN,2ND WEDNESDAY,"MON,WED 9:30-11:30AM",
BURLINGTON,303,BORDENTOWN CITY MUNICIPAL CT,204 WASHINGTON ST. FIELDSBORO NJ 08505,609-298-1616,6092981218,"PETER LANGE, JMC",SARAH HOFFMAN,2ND & 4TH TUESDAY,PART-TIME/CALL FOR HOURS,
BURLINGTON,304,BORDENTOWN TWP MUNICIPAL COURT,1 MUNICIPAL DR. BORDENTOWN NJ 08505,609-298-2802,6092919324,JOSEPH P MONTALTO,"SARAH HOFFMAN, CMCA",WEDNESDAY,"M-TH 9AM-4PM,F-9AM-12PM",
BERGEN,252,RIVER EDGE BORO MUNICIPAL CT,705 KINDERKAMACK RD RIVER EDGE NJ 07661,201-599-6310,2012621935,GIUSEPPE C RANDAZZO,NOREEN PATORAY,2ND & 4TH TUESDAY,MON-FRI 9:00AM - 3:00PM,
BERGEN,225,HASBROUCK HTS MUNICIPAL COURT,248 HAMILTON A VENU HASBROUCK HTS NJ 07604,201-288-4004,2012880939,JOSEPH JONES,SUSAN PAUL,EVERY WEDNESDAY,9:00AM - 3:00PM,
HUDSON,909,SECAUCUS TOWN MUNICIPAL COURT,1203 PATERSON PLANK SECAUCUS NJ 07094,201-330-2056,2013199024,KAREN BOYLAN,MARY MARTELL,COURT SESSIONS TUES & WED - 10AM & 1PM,9:00AM - 4:00PM,
HUDSON,908,NORTH BERGEN MUNICIPAL COURT,4225 BERGEN TURNPIKE NORTH BERGEN NJ 07047,201-392-2088,2013307299,JAMES A. COVIELLO,HEATHER D LUZZI-MILLER,MONDAY-THURSDAY,9:00AM - 3:30PM,
CAMDEN,426,OAKLYN BOROUGH MUNICIPAL COURT,500 WHITE HORSE PIKE OAKLYN NJ 08107,856-858-0074,2013374662,KRISDEN MCCRINK,DAWN ABATE-HIRST,1ST & 3RD WEDNESDAY,"M-TH 8AM-4PM,FRI 8AM-12PM",
BERGEN,253,RIVER VALE TWP MUNICIPAL COURT,406 RIVERVALE RD RIVER VALE NJ 07675,201-664-2346,2013587757,E.MICHAEL GARRETT,KATHERINE M VIGER,1ST & 3RD TUESDAY,CALL OFFICE FOR HOURS,
BERGEN,210,DUMONT BORO MUNICIPAL COURT,50 WASHINGTON AVE DUMONT NJ 07628,201-387-5032,2013875061,HARRY STYLIANOU,GLENDA HICKEY,2ND AND 4TH MONDAY TENAFLY,9:00 AM - 4:30 PM,
HUDSON,905,HOBOKEN CITY MUNICIPAL COURT,100 NEWARK STREET HOBOKEN NJ 07030,201-420-2123,2014202138,CATALDO FAZIO,KERRI AZZOLINE,"TUESDAY, WEDNESDAY, THURSDAY","9:AM-4PM, PAYMENTS 8AM-3:30PM",
BERGEN,212,EAST RUTHERFORD BORO COURT,117 STANLEY ST EAST RUTHERFORD NJ 07073,201-438-0169,2014388212,GEORGE O SAVINO,MARGARET M STUISO,EVERY WEDNESDAY,9:00 AM - 3:30 PM,
BERGEN,230,LITTLE FERRY BORO MUNICIPAL CT,215.217 LIBERTY ST LITTLE FERRY NJ 07643,201-440-2111,2014402221,GIUSEPPE C RANDA.O,DEBORAH BROTHERS,1ST & 3RD MONDAY,MON - FRI 9:00AM-4:00PM,
BERGEN,249,RIDGEFIELD BORO MUNICIPAL CT,604 BROAD AVE RIDGEFIELD BORO NJ 07657,201-943-7155,2014403309,BENJAMIN B CHOI,JASNA GEGA,1ST & 3RD TUESDAY,MON-FRI 8:00AM - 3:30PM,
HUDSON,906,JERSEY CITY MUNICIPAL COURT,365 SUMMIT AVENUE JERSEY CIRY NJ 07306,201-209-6700,2014590951,CHIEF JUDGE RAMY A. EID,WENDY WALKER,MONDAY-FRIDAY,M-TH 8:30A-7:30P F 8:30A-4:30P,
BERGEN,254,ROCHELLE PARK MUNICIPAL COURT,151 W PASSAIC ST ROCHELLE PK NJ 07662,201-556-1053,2015560759,CHRISTOPHER ERRANTE,CYNTHIA A. HOLMES,2ND & 4TH WEDNESDAY,MON - FRI 9:00AM - 4:00PM,
BERGEN,219,FORT LEE MUNICIPAL COURT,309 MAIN ST FORT LEE NJ 07024,201-592-3500,2015851232,MATTHEW J. FIERRO,JUNE C KEELEN,"TUESDAY, WEDNESDAY AND THURSDAY",MON-FRI 8:30AM - 4:00PM,
BERGEN,229,LEONIA MUNICIPAL COURT,PAYMENT: 312 BROAD LEONIA NJ 07605,201-592-5780,2015925767,BENJAMIN CHOI,CHERRON GIL,1ST & 3RD MONDAY,9:00AM - 4:00PM,
BERGEN,228,HO-HO-KUS BORO MUNICIPAL CT,333 WARRREN AVE HO-HO-KUS NJ 07423,201-652-0699,2016128734,HARRY D NORTON,ROSEMARIE NOVELLI,1ST WEDNESDAY,MON-FRI 9:00A-4:00P CLOSED 1-2,
BERGEN,267,WESTWOOD BORO MUNICIPAL COURT,101 WASHINGTON AVE WESTWOOD NJ 07675,201-666-8510,2016668561,CATALDO F FAZIO,LETITIA CANDELORO,1ST & 3RD WEDNESDAY,MON - FRI 8:30AM - 3:00PM,
BERGEN,270,WYCKOFF TWP MUNICIPAL COURT,1 SCOTT PLAZA WYCKOFF NJ 07481,201-670-3950,2016703963,RUSSEL B TESCHON,KIMBERLY MCWILLIAMS,1ST/3RD WEDNESDAY @ WYCKOFF,9:00 AM - 4:00 PM,
BERGEN,251,RIDGEWOOD VILLAGE MUNICIPAL CT,131 N MAPLE AVE RIDGEWOOD NJ 07451,201-670-5544,2016705569,DAVID T PFUND,KIMBERLY MCWILLIAMS,EVERY THURSDAY,8:30AM-4:30PM,
BERGEN,288,PALISADES INTERSTATE COURT,ALPINE APPROACH RD ALPINE NJ 07620,201-768-8702,2017672165,DWIGHT DE STEFAN / J. ARIYAN,MELISSA APONTE,MONDAY - FRIDAY,8:30AM - 4:30PM,
BERGEN,211,ELMWOOD PARK BORO MUNICIPAL CT,182 MARKET STREET ELMWOOD PARK NJ 07407,201-796-1457,2017968132,ANTHONY GALLINA,DEBORAH G ZAFONTE,EVERY TUESDAY,MON - FRI 8:30AM - 4:00PM,
BERGEN,248,RAMSEY BORO MUNICIPAL COURT,33 N. CENTRAL AVE RAMSEY NJ 07446,201-825-0988,2018181848,JOSEPH J ROTOLO,THERESA ERNEST,2ND & 4TH TUESDAY,MON - FRI 9:00AM - 4:00PM,
BERGEN,260,TEANECK TWP MUNICIPAL COURT,TEANECK RD/CEDAR LN TEANECK NJ 07666,201-837-1600,2018338047,GIUSEPPE RANDAZZO,CRAIG FERDINAND,EVERY MONDAY/WEDNESDAY/THURSDAY,M-F 8:00AM-5:15PM T TIL 7:00PM,
HUDSON,911,WEEHAWKEN TWP MUNICIPAL COURT,400 PARK AVE WEEHAWKEN NJ 07086,201-319-6028,2018666850,LAUREN OLIVIERI,ASHLEY FIGARO,"TUESDAY, WEDNESDAY, THURSDAY",9:00AM - 4:00PM,
HUDSON,912,WEST NEW YORK MUNICIPAL COURT,428-60 STREET WEST NEW YORK NJ 07093,201-295-5195,2018686074,CHARLES D'AMICO,KAREN GOMEZ,"TUESDAY, THURSDAY","M,W,THU,FR 9:00A-4:30P T 9A-7P",
HUDSON,903,GUTTENBERG MUNICIPAL COURT,6808 PARK AVE GUTTENBERG NJ 07093,201-868-2315,2018686839,LILIA MUNOZ,BLEYDELIZ COLLADO,"TUESDAY, THURSDAY",9:00AM -3:30PM MON - FRI,
BERGEN,220,FRANKLIN LAKES BORO COURT,DEKORTE DR FRANKLIN LAKES NJ 07417,201-891-5480,2018912472,FRANCIS J LEDDY JR,STACEY GAMBUTI,2ND & 4TH WEDNESDAY,8:30 AM - 4:00 PM,
BERGEN,257,SADDLE BROOK TWP COURT,63 MARKET STREET SADDLE BROOK NJ 07663,201-843-7642,2019092392,MARTIN GEISLER,CHRISTINE ORAVETZ,"2ND, 3RD, 4TH TUESDAY",8:30AM - 4:00PM,
BERGEN,213,EDGEWATER BORO MUNICIPAL COURT,55 RIVER RD EDGEWATER  NJ 07020,201-943-1700,2019432906,ROBERT J COHAN,JENNIE VARGAS,1ST AND 3RD THURSDAY,MON - FRI 9:00AM-5:00PM,
BERGEN,218,FAIRVIEW BORO MUNICIPAL COURT,59 ANDERSON AVE FAIR VIEW NJ 07022,201-943-4368,2019434402,ARTHUR E. BALSAMO,SERINA MARINI RUBERTO,EVERY WEDNESDAY,MON-FRI 8:30 AM TO 4:00 PM,
BERGEN,238,NEW MILFORD BORO COURT,930 RIVER RD NEW MILFORD NJ 07646,201-967-5646,2019675766,S.GREGORY MOSCARITOLO,SUSAN M ARMBRUSTER-STUCKE,1ST & 3RD WEDNESDAY,8:00 AM - 4:00 PM,
BERGEN,239,NORTH ARLINGTON MUNICIPAL CT,214 RIDGE ROAD NO ARLINGTON NJ 07031,201-991-6060,2019917028,CHRISTOPHER A ERRANTE,GINA MARSHALL,EVERY OTHER THURSDAY,9:00AM - 3:00PM,
HUDSON,907,KEARNY MUNICIPAL COURT,404 KEARNY AVENUE KEARNY NJ 07032,201-955-7410,2019971980,THOMAS D MCKEON,ANA MARIA MATOS,"TUESDAY, THURSDAY",8:30AM - 5:00PM,
UNION,2013,RAHWAY MUNICIPAL COURT,CITY HALL PLAZA RAHWAY NJ 07065,732-827-2039,7323819879,ROMAN A. MONTES,MARYLENE SHEPPARD,MONDAYS AND THURSDAYS,9:00AM - 4:00PM,
UNION,2002,CLARK MUNICIPAL COURT,315 WESTFIELD AVENUE CLARK,732-381-5395,7327097244,ANTONIO INACIO,AGATA KOZAK,WEDNESDAYS,9:00AM - 4:00PM,
MONMOUTH,1316,FREEHOLD TWP. MUNICIPAL COURT,ONE MUNICIPAL PLAZA FREEHOLD NJ 07728,732-294-2150,7328664058,NICOLE SONNENBLICK,DENISE YUHAS,TUESDAYS AND WEDNESDAYS,9:00AM - 4:00PM,
HUNTERDON,1010,FRANKLIN TWP MUNICIPAL COURT,1070 HGWY 202 RINGOES NJ 08551,908-782-6855,7328738080,EDWARD R MARTIN,JENNIFER BUDREWICZ,,MON - THU 8:30AM - 3:00PM,
SOMERSET,1808,FRANKLIN TWP MUNICIPAL COURT,495 DEMOTT LANE SOMERSET NJ 08873,732-873-7285,7328738080,MAUREEN VELLA,KEILA MARTINEZ,MONDAYS AND WEDNESDAYS,9:00AM - 4:00PM,
WARREN,2105,FRANKLIN TWP MUNICIPAL COURT,691 WATER STREET BEL VIDERE NJ07823,908-475-5331,7328738080,NICOLE LENAR,DAWN DECKER,1ST AND 3RD THURSDAY,MON - FRI 9:00AM - 4:30PM,
UNION,2010,MOUNTAINSIDE MUNICIPAL COURT,"1385 ROUTE 22,EAST MOUNTAINSIDE NJ 07092",908-232-5335,9082336412,FRANK P SAHAJ,CYNTHIA WEST,THURSDAYS MORNINGS,8:30AM - 4:00PM,
UNION,2015,ROSELLE PARK BORO MUNICIPAL CT,110 E WESTFIELD AVE ROSELLE PARK NJ 07204,908-241-4631,9082415719,GARY A BUNDY,NICOLE ESQUILIN,THURSDAYS,9:30AM - 3:30PM,
UNION,2016,SCOTCH PLAINS TWP COURT,430 PARK AVE SCOTCH PLAINS NJ 07076,908-322-6700,9083220680,KELLY A. WATERS,JALESSA LEWIS,WEDNESDAYS,8:30 AM - 3:00 PM,
UNION,2005,FANWOOD BORO MUNICIPAL COURT,75 MARTHINE AVE FANWOOD NJ 07023,908-322-6750,9083221378,SUSAN M. MACMULLAN,CATHERINE FRANK,THURSDAYS (3 TIMES PER MONTH),8:30 AM - 4:00 PM,
UNION,2004,ELIZABETH MUNICIPAL COURT,1 POLICE PLAZA ELIZABETH NJ 07201,908-558-6800,9083557580,ROMAN A MONTES,JOANN MARQUES,MONDAY TO FRIDAY,8:00 AM - 9:30 PM,
UNION,2009,LINDEN CITY MUNICIPAL COURT,MUNICIPAL BULDING LINDEN NJ 07036,908-474-8423,9084748619,CASSANDRA CORBETT,LINDSEY PARKER,"MONDAY, TUESDAY, WEDNESDAY",9:00AM - 3:00PM,
UNION,2020,WESTFIELD TOWN MUNICIPAL COURT,425 E. BROAD ST WESTFIELD NJ 07090,908-789-4060,9086541520,PARAG P PATEL,VANESSA TOVAR,TUESDAYS AND THURSDAYS,9:00 AM - 3:30 PM,
WARREN,2122,WASHINGTON TWP MUNICIPAL CT,100 PORT MURRAY ROAD PORT MURRAY NJ 07865,908-689-7066,9086899004,"CHARLES E CARRO,JMC",IRENE BROWNELL,2ND AND 4TH TUESDAY,MON-FRI 8:00AM - 4:00PM,
UNION,2003,CRANFORD MUNICIPAL COURT,8 SPRINGFIELD AVE CRANFORD NJ 07016,908-709-7242,9087097244,MARK J CASSIDY,LORRAINE POWELL,WEDNESDAYS,08:30 AM -03:30 PM,
UNION,2012,PLAINFIELD MUNICIPAL COURT,325 WATCHUNG AVE PLAINFIELD NJ 07061,908-753-3064,9087533030,CARL L MARSHALL,RAYMONA IWER,MONDAY TO THURSDAY,9:00 AM - 4:00 PM,
UNION,2006,GARWOOD BORO MUNICIPAL COURT,403 SOUTH AVE GARWOOD NJ 07027,908-789-0780,9087896414,GARY BUNDY,YASMILCA REYES,MONDAY (TWICE PER MONTH),9:00AM - 4:00PM,
BERGEN,221,GARFIELD CITY MUNICIPAL COURT,111 OUTWATER LANE GARFIELD NJ 07026,973-340-2000,9732530546,GIUSEPPE C RANDAZZO,KRYSTYNA MOSKAL,EVERY TUESDAY AND WEDNESDAY,MON - FRI 9:00AM - 4:00PM,
PASSAIC,1605,LITTLE FALLS MUNICIPAL COURT,225 MAIN STREET LITTLE FALLS NJ 07424,973-256-2400,9732568130,ERNEST FRONZUTO,ANDREA TROMBINO,2ND AND 4TH THURSDAYS,CALL COURT,
ESSEX,706,EAST ORANGE MUNICIPAL,221 FREEWAY DR EAST EAST ORANGE NJ 07018,973-266-5300,9732665249,SHERWIN CAMPBELL,CYNTHIA EDWARDS,MONDAY-THURSDAY,8:30AM - 4:00PM,
ESSEX,716,NUTLEY TOWN MUNICIPAL COURT,228 CHESTNUT ST NUTLEY NJ 07110,973-284-4945,9732844914,ALAN J. GENITEMPO,ADRIANA MARZULLO,WEDNESDAY,8:00AM - 4:00PM,
PASSAIC,1608,PATERSON MUNICIPAL COURT,111 BROADWAY PATERSON NJ 07505,973-321-1515,9733211516,"ABDELMAGEID ""JOHN"" ABDELHADI",BEVERLY VALENTINE,MONDAY TO FRIDAY,8:30 AM TO 4:00 PM,
PASSAIC,1616,WOODLAND PARK MUNICIPAL COURT,#5 BROPHY LANE WOODLAND PARK NJ 07424,973-345-8100,9733458194,TONI BELFORD DAMIANO,MARYANN CORAL,3 TUESDAYS PER MONTH,M-F 8:30-3:30-COURT TUES 4:00,
PASSAIC,1607,PASSAIC CITY MUNICIPAL COURT,330 PASSAIC ST PASSAIC NJ 07055,973-365-3975,9733655649,JEREMIAS E BATISTA,SANDRA HENDERSON,"MONDAYS, TUESDAYS AND THURSDAYS",9:00 AM - 3:30 PM,
ESSEX,709,IRVINGTON MUNICIPAL COURT,ONE CIVIC SQUARE IRVINGTON NJ 07111,973399-6673,9733996746,"LINDAL SCOTT-FOSTER, ACJMC",BRENDA A JONES (ACTING),MONDAY - THURSDAY,9:00AM - 4:00PM,
ESSEX,718,ROSELAND BORO MUNICIPAL COURT,19 HARRISON AVE ROSELAND NJ 07068,973-226-0641,9734037683,NANCY FALIVENA GENNARO,ALLA NUDEL,1ST & 3RD WEDNESDAY,9:00 AM - 4:00 PM,
PASSAIC,1604,HAWTHORNE BORO MUNICIPAL COURT,445 LAFAYETTE AVE HAWTHORNE NJ 07506,973-427-4767,9734274194,JOHN F MEOLA,"NORA KHOURY, MCA",THURSDAYS,9:00AM - 4:00PM,
